,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,license,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,projectrank_placing,dockerhub_id,docs_url,labels,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pillow,python-pillow/Pillow,image,,{},522.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,PIL,2478954.0,2478954.0,https://pypi.org/project/Pillow,558296105.0,559438508.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,83395464.0,60.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,data-viz,,{},1906.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,1917547.0,1917547.0,https://pypi.org/project/matplotlib,239119318.0,239687917.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,42076354.0,84.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5277.0,TensorFlow is an end-to-end open source platform for machine learning.,24,False,tensorflow,conda-forge/tensorflow,,547727.0,547727.0,https://pypi.org/project/tensorflow,,1231510.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-08-19 19:35:24.819,2026-08-27 12:49:50.623162,7313611.0,47.0,1.0,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],https://hub.docker.com/r/tensorflow/tensorflow,2026-08-27 12:49:50.623162,2918.0,2918.0,82586696.0,-31.0,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3557.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,1372052.0,1372052.0,https://pypi.org/project/scikit-learn,240850348.0,241529074.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,50904464.0,63.0,1.0,,,['sklearn'],,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,{},1965.0,"Ecosystem of open-source software for mathematics, science, and engineering.",24,False,scipy,conda-forge/scipy,,1464058.0,1464058.0,https://pypi.org/project/scipy,420252829.0,421565965.0,https://anaconda.org/conda-forge/scipy,2020-11-01 04:38:56.532,2026-06-20 01:57:35.918,2026-06-20 01:57:35.918000,90606405.0,56.0,1.0,,,,,,,,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,{},6901.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,22,False,torch,pytorch/pytorch,BSD-3-Clause,874352.0,874352.0,https://pypi.org/project/torch,,541207.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31931264.0,32.0,1.0,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,,,,-33.0,,,,,,,,,,,,
12,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,206873.0,206873.0,https://pypi.org/project/tokenizers,268605356.0,268678606.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5347257.0,39.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,Plotly,plotly/plotly.py,data-viz,,{},332.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,476769.0,476769.0,https://pypi.org/project/plotly,68707448.0,68922148.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,16032642.0,119.0,1.0,,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,932.0,,,,,,,,,
14,networkx,networkx/networkx,graph,,{},850.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,460784.0,460784.0,https://pypi.org/project/networkx,272123656.0,272618134.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,35602441.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,{},1552.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,308374.0,308374.0,https://pypi.org/project/keras,17755378.0,17828243.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5392011.0,52.0,1.0,,https://keras.io,['tensorflow'],,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,data-viz,,{},217.0,Statistical data visualization.,21,False,seaborn,conda-forge/seaborn,,718770.0,718770.0,https://pypi.org/project/seaborn,35437488.0,35687913.0,https://anaconda.org/conda-forge/seaborn,2020-06-11 12:34:59.562,2025-04-22 14:56:26.328,2025-04-22 14:56:26.328000,18531494.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,
17,Altair,altair-viz/altair,data-viz,,{},200.0,Altair: A declarative statistical visualization library for Python.,21,False,altair,conda-forge/altair,,249641.0,249641.0,https://pypi.org/project/altair,52993820.0,53060613.0,https://anaconda.org/conda-forge/altair,2021-12-29 16:43:13.728,2026-06-25 09:08:16.682,2026-06-25 09:08:16.682000,3740422.0,35.0,1.0,,,,,,,,,,,,,,,,,,,,,
18,pyproj,pyproj4/pyproj,geospatial-data,,{},82.0,Python interface to PROJ library.,21,False,pyproj,conda-forge/pyproj,MIT,49968.0,49968.0,https://pypi.org/project/pyproj,25661438.0,25866472.0,https://anaconda.org/conda-forge/pyproj,2020-07-28 04:30:26.055,2026-08-10 09:08:02.355,2026-08-10 09:08:02.355000,14967530.0,37.0,1.0,,,,,,,,,,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,{},1160.0,MLflow is an open source platform for the machine learning lifecycle.,21,False,mlflow,conda-forge/mlflow,,69317.0,69317.0,https://pypi.org/project/mlflow,41716139.0,41787465.0,https://anaconda.org/conda-forge/mlflow,2020-06-25 18:11:47.672,2026-08-26 10:40:04.182,2026-08-26 10:40:04.182000,5278188.0,124.0,1.0,,,,,,,,,,,,,,,,,,,,,
